Field,Rows_Present,Rows_Missing,Coverage_Pct,Min,P05,P25,Median,P75,P95,Max
Range5_to_Range20,2037,0,100.0,0.01472750381891105,0.20456038559646164,0.3333333333333333,0.4458906038770915,0.58048075712288,0.8403058978914093,1.0
TR_Mean5,2037,0,100.0,0.02200007438659668,0.21652006149291994,0.9660003662109375,2.5779983520507814,8.363998413085938,144.35999999999967,10492.8
TR_Mean20,2037,0,100.0,0.022500002384185792,0.23390010833740238,1.1005001068115234,2.9904998779296874,9.313002014160157,170.4249999999994,9140.15
TR_Mean5_to_20,2037,0,100.0,0.1099092501023646,0.6391637494697365,0.7697318967677274,0.8717795787320983,0.9931770987837437,1.2373262428725185,3.1550026898293875
EMA20_Slope5_Pct,2037,0,100.0,-0.1132300678169772,-0.03286520669355177,-0.011892566731299015,-0.001571265750721973,0.012084461460489138,0.044050600082175505,0.15237952881500894
EMA50_Slope10_Pct,2037,0,100.0,-0.12466234778007135,-0.038067646928042494,-0.01033932765039558,0.0055482254448528945,0.024340175235800787,0.06781249955277899,0.525768298077196
Consecutive_Close_Above_EMA20,2037,0,100.0,0.0,0.0,0.0,0.0,7.0,27.0,94.0
Consecutive_Close_Above_EMA50,2037,0,100.0,0.0,0.0,0.0,1.0,20.0,60.19999999999982,199.0
Consecutive_Close_Above_SMA200,2037,0,100.0,0.0,0.0,0.0,17.0,94.0,130.0,135.0
Days_Since_Cross_Above_EMA20,2037,0,100.0,0.0,0.0,4.0,11.0,19.0,40.19999999999982,120.0
Days_Since_Cross_Below_EMA20,2037,0,100.0,0.0,1.0,3.0,7.0,16.0,36.0,114.0
Days_Since_Cross_Above_EMA50,2037,0,100.0,0.0,1.0,7.0,17.0,37.0,82.19999999999982,244.0
Days_Since_Cross_Below_EMA50,2037,0,100.0,0.0,1.0,4.0,14.0,34.0,81.19999999999982,215.0
RecentLow10_vs_Prior10_Pct,2037,0,100.0,-0.21504353716399727,-0.06444787035625366,-0.01334427184578979,0.020038334204565356,0.07443034497997436,0.20770207782444458,2.996388805296419
Distance_Low20_ATR,2037,0,100.0,0.0,0.18774274328539636,0.855387825957612,1.9023360877986404,3.4494613110524805,5.986348633382354,21.87638982976054
Distance_Low60_ATR,2037,0,100.0,0.007286995465987035,0.4431042841523851,2.1024790805574174,3.983789464011813,6.441240660246845,10.175497022600606,54.04402362226892
Distance_High20_ATR,2037,0,100.0,0.0,0.24952109461444236,1.2411198364272675,2.361996542630862,3.6235584225912385,5.825057989937045,11.293962762688007
Max_Daily_Return5,2037,0,100.0,-0.007961619601067338,0.0011268228791146311,0.01014202687137078,0.01935077759577397,0.03294892874566657,0.07056314018615695,0.9862511805107079
Min_Daily_Return5,2037,0,100.0,-0.19377529727081355,-0.07678371809864093,-0.03833939672399267,-0.024709491765268266,-0.014913779234551394,-0.00476773119246359,0.0181028234904963
Max_Daily_Return20,2037,0,100.0,0.002711064897427118,0.01574360643410566,0.029255313077842793,0.04597478814249589,0.07090094830608296,0.14577691184134825,2.909967845659164
Min_Daily_Return20,2037,0,100.0,-0.349991931512315,-0.12312181643443443,-0.06314036944777213,-0.04046992965954366,-0.02819894378089538,-0.017224405678385173,-0.0014770682530059753
Max_TR_Preceding_ATR14_20,2037,0,100.0,0.30063180548518137,1.3069610958091762,1.742549169466257,2.1629935458401772,2.9061315076404464,5.010310995973466,124.77531852945476
Max_Volume_PrecedingMedian20_20,2037,0,100.0,0.8809364514281349,1.273852180727752,1.6624280741635291,2.129842647036595,2.8346887126708284,4.930107459040624,39.16291668749063
Impulse_Return20_Max,2037,0,100.0,0.002711064897427118,0.01574360643410566,0.029255313077842793,0.04597478814249589,0.07090094830608296,0.14577691184134825,2.909967845659164
Impulse_Days_Ago,2037,0,100.0,0.0,1.0,8.0,13.0,16.0,19.0,19.0
PostImpulse_Min_vs_ImpulseClose,2037,0,100.0,-0.4590996963567425,-0.14707154004672418,-0.07136294027565082,-0.037037089364844955,-0.01132075471698113,0.0,0.0
PostImpulse_Latest_vs_ImpulseClose,2037,0,100.0,-0.4590996963567425,-0.12759384476236416,-0.054846976633520006,-0.01971091888774512,0.011673171965421059,0.09938702307503229,0.5500868558193399
PostImpulse_Range_Pct,2037,0,100.0,0.004126589605930737,0.037803446468866096,0.07125263898662913,0.10475901752045294,0.1547508836768863,0.2737961915896669,0.8013896931094383
ReturnStd5,2037,0,100.0,0.0011583240611431672,0.006155738190551239,0.011823164703056447,0.01891494713795071,0.02795386208616053,0.050535349368262365,0.44616429937867735
ReturnStd20,2037,0,100.0,0.001351049351467963,0.009813909510919903,0.01591215276659358,0.0228238771546295,0.03287504487756024,0.057810493552805355,0.6505086565261389
ReturnStd5_to_20,2037,0,100.0,0.02179298961348599,0.3599871811140917,0.6237610196004262,0.833734851307638,1.0689495914564502,1.4139832203421212,2.044707242411163
AsOf_Age_Calendar_Days,2037,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
