WS_ID,Yahoo_Symbol,Yahoo_Mapping_Status,Primary_Ticker,Primary_MIC,Primary_Currency
WS:US:AAL,AAL,EXPLICIT,AAL,,USD
WS:US:ABNB,ABNB,EXPLICIT,ABNB,,USD
WS:ISIN:TW0002344009,2344.TW,EXPLICIT,2344,XTAI,TWD
WS:XSHE:300274,300274.SZ,EXPLICIT,300274,XSHE,CNY
WS:US:COF,COF,EXPLICIT,COF,,USD
WS:XSHG:688072,688072.SS,EXPLICIT,688072,XSHG,CNY
WS:US:MPC,MPC,EXPLICIT,MPC,,USD
WS:US:CIEN,CIEN,EXPLICIT,CIEN,,USD
WS:US:NXPI,NXPI,EXPLICIT,NXPI,,USD
WS:US:RDDT,RDDT,EXPLICIT,RDDT,,USD
WS:US:VLO,VLO,EXPLICIT,VLO,,USD
WS:XTKS:6920,6920.T,EXPLICIT,6920,XTKS,JPY
WS:US:FTNT,FTNT,EXPLICIT,FTNT,,USD
WS:US:DHR,DHR,EXPLICIT,DHR,,USD
WS:US:WDAY,WDAY,EXPLICIT,WDAY,,USD
WS:US:PWR,PWR,EXPLICIT,PWR,,USD
WS:US:UNP,UNP,EXPLICIT,UNP,,USD
WS:US:CVS,CVS,EXPLICIT,CVS,,USD
WS:US:MCHP,MCHP,EXPLICIT,MCHP,,USD
WS:US:ON,ON,EXPLICIT,ON,,USD
WS:US:SYK,SYK,EXPLICIT,SYK,,USD
WS:US:SCHW,SCHW,EXPLICIT,SCHW,,USD
WS:XSHG:600519,600519.SS,EXPLICIT,600519,XSHG,CNY
WS:US:CEG,CEG,EXPLICIT,CEG,,USD
WS:US:WELL,WELL,EXPLICIT,WELL,,USD
WS:US:MO,MO,EXPLICIT,MO,,USD
WS:US:CVNA,CVNA,EXPLICIT,CVNA,,USD
WS:XTKS:5801,5801.T,EXPLICIT,5801,XTKS,JPY
WS:US:HLT,HLT,EXPLICIT,HLT,,USD
WS:US:HON,HON,EXPLICIT,HON,,USD
WS:XSHE:000063,000063.SZ,EXPLICIT,000063,XSHE,CNY
WS:US:FIX,FIX,EXPLICIT,FIX,,USD
WS:US:BLK,BLK,EXPLICIT,BLK,,USD
WS:US:CDNS,CDNS,EXPLICIT,CDNS,,USD
WS:ISIN:TW0002308004,2308.TW,EXPLICIT,2308,XTAI,TWD
WS:US:SBUX,SBUX,EXPLICIT,SBUX,,USD
WS:XTKS:6146,6146.T,EXPLICIT,6146,XTKS,JPY
WS:US:VST,VST,EXPLICIT,VST,,USD
WS:US:CDE,CDE,EXPLICIT,CDE,,USD
WS:US:CMCSA,CMCSA,EXPLICIT,CMCSA,,USD
WS:US:BMY,BMY,EXPLICIT,BMY,,USD
WS:XSHG:603019,603019.SS,EXPLICIT,603019,XSHG,CNY
WS:US:HL,HL,EXPLICIT,HL,,USD
WS:US:TGT,TGT,EXPLICIT,TGT,,USD
WS:US:DE,DE,EXPLICIT,DE,,USD
WS:US:ADP,ADP,EXPLICIT,ADP,,USD
WS:US:F,F,EXPLICIT,F,,USD
WS:US:REGN,REGN,EXPLICIT,REGN,,USD
WS:US:TRV,TRV,EXPLICIT,TRV,,USD
WS:US:SHW,SHW,EXPLICIT,SHW,,USD
WS:US:HWM,HWM,EXPLICIT,HWM,,USD
WS:US:LMT,LMT,EXPLICIT,LMT,,USD
WS:US:ROST,ROST,EXPLICIT,ROST,,USD
WS:US:EQIX,EQIX,EXPLICIT,EQIX,,USD
WS:US:BX,BX,EXPLICIT,BX,,USD
WS:US:ICE,ICE,EXPLICIT,ICE,,USD
WS:US:PSX,PSX,EXPLICIT,PSX,,USD
WS:XSHG:603993,603993.SS,EXPLICIT,603993,XSHG,CNY
WS:XSHE:300059,300059.SZ,EXPLICIT,300059,XSHE,CNY
WS:ISIN:TW0003037008,3037.TW,EXPLICIT,3037,XTAI,TWD
WS:US:MAR,MAR,EXPLICIT,MAR,,USD
WS:US:VRTX,VRTX,EXPLICIT,VRTX,,USD
WS:XSHG:688521,688521.SS,EXPLICIT,688521,XSHG,CNY
WS:US:LOW,LOW,EXPLICIT,LOW,,USD
WS:XSHG:600276,600276.SS,EXPLICIT,600276,XSHG,CNY
WS:US:PYPL,PYPL,EXPLICIT,PYPL,,USD
WS:US:MDT,MDT,EXPLICIT,MDT,,USD
WS:XSHE:300433,300433.SZ,EXPLICIT,300433,XSHE,CNY
WS:US:CMG,CMG,EXPLICIT,CMG,,USD
WS:XSHE:301165,301165.SZ,EXPLICIT,301165,XSHE,CNY
WS:US:CB,CB,EXPLICIT,CB,,USD
WS:US:SNPS,SNPS,EXPLICIT,SNPS,,USD
WS:US:PH,PH,EXPLICIT,PH,,USD
WS:US:KKR,KKR,EXPLICIT,KKR,,USD
WS:XTKS:7974,7974.T,EXPLICIT,7974,XTKS,JPY
WS:US:CSX,CSX,EXPLICIT,CSX,,USD
WS:US:WBD,WBD,EXPLICIT,WBD,,USD
