Security_Key,Source_WS_ID,EMA20_materialized,EMA20_independent,EMA20_exact_match,EMA50_materialized,EMA50_independent,EMA50_exact_match,ATR14_materialized,ATR14_independent,ATR14_exact_match,semantics
WSSEC:WS:XNYS:MGM,WS:XNYS:MGM,39.49726758191875,39.49726758191875,True,41.6652917077074,41.6652917077074,True,1.1833243403194729,1.1833243403194729,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:MKC,WS:XNYS:MKC,50.73564791545384,50.73564791545384,True,51.617780387922195,51.617780387922195,True,1.2992918886066636,1.2992918886066636,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:MLI,WS:XNYS:MLI,61.65923152647497,61.65923152647497,True,59.572467665990665,59.572467665990665,True,1.6936398728132172,1.6936398728132172,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:MLM,WS:XNYS:MLM,505.28030353885,505.28030353885,True,527.2691903376333,527.2691903376333,True,13.416542336123838,13.416542336123838,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:MMM,WS:XNYS:MMM,168.4246985775738,168.4246985775738,True,169.2500096047405,169.2500096047405,True,3.4560849335074266,3.4560849335074266,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:MMS,WS:XNYS:MMS,57.35675374138976,57.35675374138976,True,58.09191734476464,58.09191734476464,True,1.6141703740122006,1.6141703740122006,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:MO,WS:XNYS:MO,68.91223152047117,68.91223152047117,True,69.05352673199499,69.05352673199499,True,1.3963757480563617,1.3963757480563617,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:MOGA,WS:XNYS:MOGA,372.20406423692407,372.20406423692407,True,382.03231377682937,382.03231377682937,True,12.418277135533433,12.418277135533433,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:MOH,WS:XNYS:MOH,202.14000367063588,202.14000367063588,True,202.37748254186846,202.37748254186846,True,7.084321288656774,7.084321288656774,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:MOS,WS:XNYS:MOS,24.556475081008067,24.556475081008067,True,23.916276814328857,23.916276814328857,True,1.0905374525148994,1.0905374525148994,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:MP,WS:XNYS:MP,51.88693380906688,51.88693380906688,True,52.822141267602824,52.822141267602824,True,2.8203821690185986,2.8203821690185986,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:MPC,WS:XNYS:MPC,390.39793509874227,390.39793509874227,True,358.572126797826,358.572126797826,True,14.763900381184445,14.763900381184445,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
WSSEC:WS:XNYS:MRK,WS:XNYS:MRK,146.76660840898654,146.76660840898654,True,140.8507418528586,140.8507418528586,True,3.680189545861394,3.680189545861394,True,DETERMINISTICALLY_COMPUTED_FROM_FILTERED_VALID_SERIES
