Security_Key,Source_WS_ID,Primary_MIC,Primary_Ticker,Required_Canonical_NonFinite_Count,Affected_Features
WSSEC:WS:ISIN:KYG989221000,WS:ISIN:KYG989221000,XTAI,4958,0,
WSSEC:WS:ISIN:TW0001216000,WS:ISIN:TW0001216000,XTAI,1216,0,
WSSEC:WS:ISIN:TW0001303006,WS:ISIN:TW0001303006,XTAI,1303,0,
WSSEC:WS:ISIN:TW0002059003,WS:ISIN:TW0002059003,XTAI,2059,0,
WSSEC:WS:ISIN:TW0002301009,WS:ISIN:TW0002301009,XTAI,2301,0,
WSSEC:WS:ISIN:TW0002303005,WS:ISIN:TW0002303005,XTAI,2303,0,
WSSEC:WS:ISIN:TW0002308004,WS:ISIN:TW0002308004,XTAI,2308,0,
WSSEC:WS:ISIN:TW0002317005,WS:ISIN:TW0002317005,XTAI,2317,0,
WSSEC:WS:ISIN:TW0002327004,WS:ISIN:TW0002327004,XTAI,2327,0,
WSSEC:WS:ISIN:TW0002330008,WS:ISIN:TW0002330008,XTAI,2330,0,
WSSEC:WS:ISIN:TW0002344009,WS:ISIN:TW0002344009,XTAI,2344,0,
WSSEC:WS:ISIN:TW0002345006,WS:ISIN:TW0002345006,XTAI,2345,0,
WSSEC:WS:ISIN:TW0002357001,WS:ISIN:TW0002357001,XTAI,2357,0,
WSSEC:WS:ISIN:TW0002360005,WS:ISIN:TW0002360005,XTAI,2360,0,
WSSEC:WS:ISIN:TW0002368008,WS:ISIN:TW0002368008,XTAI,2368,0,
WSSEC:WS:ISIN:TW0002382009,WS:ISIN:TW0002382009,XTAI,2382,0,
WSSEC:WS:ISIN:TW0002383007,WS:ISIN:TW0002383007,XTAI,2383,0,
WSSEC:WS:ISIN:TW0002395001,WS:ISIN:TW0002395001,XTAI,2395,0,
WSSEC:WS:ISIN:TW0002408002,WS:ISIN:TW0002408002,XTAI,2408,0,
WSSEC:WS:ISIN:TW0002412004,WS:ISIN:TW0002412004,XTAI,2412,0,
WSSEC:WS:ISIN:TW0002449006,WS:ISIN:TW0002449006,XTAI,2449,0,
WSSEC:WS:ISIN:TW0002454006,WS:ISIN:TW0002454006,XTAI,2454,0,
WSSEC:WS:ISIN:TW0002603008,WS:ISIN:TW0002603008,XTAI,2603,0,
WSSEC:WS:ISIN:TW0002880002,WS:ISIN:TW0002880002,XTAI,2880,0,
WSSEC:WS:ISIN:TW0002881000,WS:ISIN:TW0002881000,XTAI,2881,0,
WSSEC:WS:ISIN:TW0002882008,WS:ISIN:TW0002882008,XTAI,2882,0,
WSSEC:WS:ISIN:TW0002883006,WS:ISIN:TW0002883006,XTAI,2883,0,
WSSEC:WS:ISIN:TW0002884004,WS:ISIN:TW0002884004,XTAI,2884,0,
WSSEC:WS:ISIN:TW0002885001,WS:ISIN:TW0002885001,XTAI,2885,0,
WSSEC:WS:ISIN:TW0002886009,WS:ISIN:TW0002886009,XTAI,2886,0,
WSSEC:WS:ISIN:TW0002887007,WS:ISIN:TW0002887007,XTAI,2887,0,
WSSEC:WS:ISIN:TW0002890001,WS:ISIN:TW0002890001,XTAI,2890,0,
WSSEC:WS:ISIN:TW0002891009,WS:ISIN:TW0002891009,XTAI,2891,0,
WSSEC:WS:ISIN:TW0002892007,WS:ISIN:TW0002892007,XTAI,2892,0,
WSSEC:WS:ISIN:TW0003008009,WS:ISIN:TW0003008009,XTAI,3008,0,
WSSEC:WS:ISIN:TW0003017000,WS:ISIN:TW0003017000,XTAI,3017,0,
WSSEC:WS:ISIN:TW0003037008,WS:ISIN:TW0003037008,XTAI,3037,0,
WSSEC:WS:ISIN:TW0003045001,WS:ISIN:TW0003045001,XTAI,3045,0,
WSSEC:WS:ISIN:TW0003231007,WS:ISIN:TW0003231007,XTAI,3231,0,
WSSEC:WS:ISIN:TW0003443008,WS:ISIN:TW0003443008,XTAI,3443,0,
WSSEC:WS:ISIN:TW0003653002,WS:ISIN:TW0003653002,XTAI,3653,0,
WSSEC:WS:ISIN:TW0004904008,WS:ISIN:TW0004904008,XTAI,4904,0,
WSSEC:WS:ISIN:TW0006505001,WS:ISIN:TW0006505001,XTAI,6505,0,
WSSEC:WS:ISIN:TW0008046004,WS:ISIN:TW0008046004,XTAI,8046,0,
WSSEC:WS:XASX:ALD,WS:XASX:ALD,XASX,ALD,0,
WSSEC:WS:XASX:ALL,WS:XASX:ALL,XASX,ALL,0,
WSSEC:WS:XASX:ALQ,WS:XASX:ALQ,XASX,ALQ,0,
WSSEC:WS:XASX:ANZ,WS:XASX:ANZ,XASX,ANZ,0,
WSSEC:WS:XASX:ASX,WS:XASX:ASX,XASX,ASX,0,
WSSEC:WS:XASX:AZJ,WS:XASX:AZJ,XASX,AZJ,0,
WSSEC:WS:XASX:BHP,WS:XASX:BHP,XASX,BHP,0,
WSSEC:WS:XASX:BSL,WS:XASX:BSL,XASX,BSL,0,
WSSEC:WS:XASX:BXB,WS:XASX:BXB,XASX,BXB,0,
WSSEC:WS:XASX:CAR,WS:XASX:CAR,XASX,CAR,0,
WSSEC:WS:XASX:CBA,WS:XASX:CBA,XASX,CBA,0,
WSSEC:WS:XASX:CMM,WS:XASX:CMM,XASX,CMM,0,
WSSEC:WS:XASX:COH,WS:XASX:COH,XASX,COH,0,
WSSEC:WS:XASX:COL,WS:XASX:COL,XASX,COL,0,
WSSEC:WS:XASX:CPU,WS:XASX:CPU,XASX,CPU,0,
WSSEC:WS:XASX:CSL,WS:XASX:CSL,XASX,CSL,0,
WSSEC:WS:XASX:CWY,WS:XASX:CWY,XASX,CWY,0,
WSSEC:WS:XASX:EVN,WS:XASX:EVN,XASX,EVN,0,
WSSEC:WS:XASX:FMG,WS:XASX:FMG,XASX,FMG,0,
WSSEC:WS:XASX:GMD,WS:XASX:GMD,XASX,GMD,0,
WSSEC:WS:XASX:IAG,WS:XASX:IAG,XASX,IAG,0,
WSSEC:WS:XASX:IGO,WS:XASX:IGO,XASX,IGO,0,
WSSEC:WS:XASX:JBH,WS:XASX:JBH,XASX,JBH,0,
WSSEC:WS:XASX:LTR,WS:XASX:LTR,XASX,LTR,0,
WSSEC:WS:XASX:LYC,WS:XASX:LYC,XASX,LYC,0,
WSSEC:WS:XASX:MIN,WS:XASX:MIN,XASX,MIN,0,
WSSEC:WS:XASX:MP1,WS:XASX:MP1,XASX,MP1,0,
WSSEC:WS:XASX:MPL,WS:XASX:MPL,XASX,MPL,0,
WSSEC:WS:XASX:MQG,WS:XASX:MQG,XASX,MQG,0,
WSSEC:WS:XASX:NAB,WS:XASX:NAB,XASX,NAB,0,
WSSEC:WS:XASX:NST,WS:XASX:NST,XASX,NST,0,
WSSEC:WS:XASX:NXT,WS:XASX:NXT,XASX,NXT,0,
WSSEC:WS:XASX:ORG,WS:XASX:ORG,XASX,ORG,0,
WSSEC:WS:XASX:ORI,WS:XASX:ORI,XASX,ORI,0,
WSSEC:WS:XASX:PDN,WS:XASX:PDN,XASX,PDN,0,
WSSEC:WS:XASX:PLS,WS:XASX:PLS,XASX,PLS,0,
WSSEC:WS:XASX:PME,WS:XASX:PME,XASX,PME,0,
