WS_ID,Name,ISIN,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Primary_Universe_Index,Index_Tags,ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
WS:XKRX:012450,Hanwha Aerospace,,South Korea,012450,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,WS:XKRX:012450,012450.KS,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,0,0,0.03734439834024896,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XKRX:0126Z0,Samsung Epis,,South Korea,0126Z0,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,WS:XKRX:0126Z0,0126Z0.KS,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,181,181,0,0,0.0,2025-11-25,2026-08-21,2026-08-23T23:03:35+00:00,YF-20260823T230331262207-87656328,
WS:XKRX:034020,Doosan Enerbility,,South Korea,034020,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,WS:XKRX:034020,034020.KS,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XKRX:034220,LG Display,,South Korea,034220,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,WS:XKRX:034220,034220.KS,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XKRX:042700,Hanmi Semiconductor,,South Korea,042700,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,WS:XKRX:042700,042700.KS,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XKRX:047050,POSCO International,,South Korea,047050,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,WS:XKRX:047050,047050.KS,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XKRX:051910,LG Chem,,South Korea,051910,Korea Exchange,XKRX,KRW,KR_KOSPI200,KR_KOSPI200,WS:XKRX:051910,051910.KS,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,484,482,0,0,0.0,2024-08-21,2026-08-21,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
WS:XMEX:ALFAA,ALFA,,Mexico,ALFA A,Bolsa Mexicana de Valores,XMEX,MXN,MX_IPC,MX_IPC,WS:XMEX:ALFAA,ALFAA.MX,EXPLICIT,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-08-23T23:06:30+00:00,YF-20260823T230629308485-063afe5b,NO_DATA_IN_BATCH
WS:XMEX:ELEKTRA,Grupo Elektra,,Mexico,ELEKTRA,Bolsa Mexicana de Valores,XMEX,MXN,MX_IPC,MX_IPC,WS:XMEX:ELEKTRA,ELEKTRA.MX,EXPLICIT,DOWNLOAD_FAILED,NO_DATA_IN_BATCH,0,0,0,0,,,,2026-08-23T23:06:30+00:00,YF-20260823T230629308485-063afe5b,NO_DATA_IN_BATCH
WS:XNZE:KPG,Kiwi Property Group Limited,,New Zealand,KPG,New Zealand Exchange,XNZE,NZD,NZ_NZX50,NZ_NZX50,WS:XNZE:KPG,KPG.NZ,EXPLICIT,QUARANTINE,INVALID_OHLC_OR_VOLUME,499,497,0,0,0.002012072434607646,2024-08-26,2026-08-24,2026-08-23T23:06:32+00:00,YF-20260823T230631313301-38920382-R,NO_DATA_IN_BATCH
