WS_ID,Yahoo_Symbol,Yahoo_Mapping_Status,Primary_Ticker,Primary_MIC,Primary_Currency
WS:XASX:TPG,TPG.AX,EXPLICIT,TPG,XASX,AUD
WS:XASX:TUA,TUA.AX,EXPLICIT,TUA,XASX,AUD
WS:XASX:TWE,TWE.AX,EXPLICIT,TWE,XASX,AUD
WS:XASX:VAU,VAU.AX,EXPLICIT,VAU,XASX,AUD
WS:XASX:VCX,VCX.AX,EXPLICIT,VCX,XASX,AUD
WS:XASX:VEA,VEA.AX,EXPLICIT,VEA,XASX,AUD
WS:XASX:VGN,VGN.AX,EXPLICIT,VGN,XASX,AUD
WS:XASX:VNT,VNT.AX,EXPLICIT,VNT,XASX,AUD
WS:XASX:WAF,WAF.AX,EXPLICIT,WAF,XASX,AUD
WS:XASX:WAM,WAM.AX,EXPLICIT,WAM,XASX,AUD
WS:XASX:WBC,WBC.AX,EXPLICIT,WBC,XASX,AUD
WS:XASX:WDS,WDS.AX,EXPLICIT,WDS,XASX,AUD
WS:XASX:WES,WES.AX,EXPLICIT,WES,XASX,AUD
WS:XASX:WGX,WGX.AX,EXPLICIT,WGX,XASX,AUD
WS:XASX:WHC,WHC.AX,EXPLICIT,WHC,XASX,AUD
WS:XASX:WLE,WLE.AX,EXPLICIT,WLE,XASX,AUD
WS:XASX:WOR,WOR.AX,EXPLICIT,WOR,XASX,AUD
WS:XASX:WOW,WOW.AX,EXPLICIT,WOW,XASX,AUD
WS:XASX:WTC,WTC.AX,EXPLICIT,WTC,XASX,AUD
WS:XASX:XRO,XRO.AX,EXPLICIT,XRO,XASX,AUD
WS:XASX:XYX,XYX.AX,EXPLICIT,XYX,XASX,AUD
WS:XASX:YAL,YAL.AX,EXPLICIT,YAL,XASX,AUD
WS:XASX:ZIM,ZIM.AX,EXPLICIT,ZIM,XASX,AUD
WS:XASX:ZIP,ZIP.AX,EXPLICIT,ZIP,XASX,AUD
WS:BVMF:ABEV3,ABEV3.SA,EXPLICIT,ABEV3,BVMF,BRL
WS:BVMF:ALOS3,ALOS3.SA,EXPLICIT,ALOS3,BVMF,BRL
WS:BVMF:ANIM3,ANIM3.SA,EXPLICIT,ANIM3,BVMF,BRL
WS:BVMF:ASAI3,ASAI3.SA,EXPLICIT,ASAI3,BVMF,BRL
WS:BVMF:AUAU3,AUAU3.SA,EXPLICIT,AUAU3,BVMF,BRL
WS:BVMF:AURE3,AURE3.SA,EXPLICIT,AURE3,BVMF,BRL
WS:BVMF:AXIA3,AXIA3.SA,EXPLICIT,AXIA3,BVMF,BRL
WS:BVMF:AZZA3,AZZA3.SA,EXPLICIT,AZZA3,BVMF,BRL
WS:BVMF:B3SA3,B3SA3.SA,EXPLICIT,B3SA3,BVMF,BRL
WS:BVMF:BBAS3,BBAS3.SA,EXPLICIT,BBAS3,BVMF,BRL
WS:BVMF:BBDC3,BBDC3.SA,EXPLICIT,BBDC3,BVMF,BRL
WS:BVMF:BBDC4,BBDC4.SA,EXPLICIT,BBDC4,BVMF,BRL
WS:BVMF:BBSE3,BBSE3.SA,EXPLICIT,BBSE3,BVMF,BRL
WS:BVMF:BEEF3,BEEF3.SA,EXPLICIT,BEEF3,BVMF,BRL
WS:BVMF:BPAC11,BPAC11.SA,EXPLICIT,BPAC11,BVMF,BRL
WS:BVMF:BRAP4,BRAP4.SA,EXPLICIT,BRAP4,BVMF,BRL
WS:BVMF:BRAV3,BRAV3.SA,EXPLICIT,BRAV3,BVMF,BRL
WS:BVMF:BRKM5,BRKM5.SA,EXPLICIT,BRKM5,BVMF,BRL
WS:BVMF:CBAV3,CBAV3.SA,EXPLICIT,CBAV3,BVMF,BRL
WS:BVMF:CEAB3,CEAB3.SA,EXPLICIT,CEAB3,BVMF,BRL
WS:BVMF:CMIG4,CMIG4.SA,EXPLICIT,CMIG4,BVMF,BRL
WS:BVMF:CMIN3,CMIN3.SA,EXPLICIT,CMIN3,BVMF,BRL
WS:BVMF:COGN3,COGN3.SA,EXPLICIT,COGN3,BVMF,BRL
WS:BVMF:CPFE3,CPFE3.SA,EXPLICIT,CPFE3,BVMF,BRL
WS:BVMF:CPLE3,CPLE3.SA,EXPLICIT,CPLE3,BVMF,BRL
WS:BVMF:CSAN3,CSAN3.SA,EXPLICIT,CSAN3,BVMF,BRL
WS:BVMF:CSMG3,CSMG3.SA,EXPLICIT,CSMG3,BVMF,BRL
WS:BVMF:CSNA3,CSNA3.SA,EXPLICIT,CSNA3,BVMF,BRL
WS:BVMF:CURY3,CURY3.SA,EXPLICIT,CURY3,BVMF,BRL
WS:BVMF:CVCB3,CVCB3.SA,EXPLICIT,CVCB3,BVMF,BRL
WS:BVMF:CXSE3,CXSE3.SA,EXPLICIT,CXSE3,BVMF,BRL
WS:BVMF:CYRE3,CYRE3.SA,EXPLICIT,CYRE3,BVMF,BRL
WS:BVMF:DIRR3,DIRR3.SA,EXPLICIT,DIRR3,BVMF,BRL
WS:BVMF:ECOR3,ECOR3.SA,EXPLICIT,ECOR3,BVMF,BRL
WS:BVMF:EGIE3,EGIE3.SA,EXPLICIT,EGIE3,BVMF,BRL
WS:BVMF:EMBJ3,EMBJ3.SA,EXPLICIT,EMBJ3,BVMF,BRL
WS:BVMF:ENEV3,ENEV3.SA,EXPLICIT,ENEV3,BVMF,BRL
WS:BVMF:ENGI11,ENGI11.SA,EXPLICIT,ENGI11,BVMF,BRL
WS:BVMF:EQTL3,EQTL3.SA,EXPLICIT,EQTL3,BVMF,BRL
WS:BVMF:EZTC3,EZTC3.SA,EXPLICIT,EZTC3,BVMF,BRL
WS:BVMF:FLRY3,FLRY3.SA,EXPLICIT,FLRY3,BVMF,BRL
WS:BVMF:GGBR4,GGBR4.SA,EXPLICIT,GGBR4,BVMF,BRL
WS:BVMF:GGPS3,GGPS3.SA,EXPLICIT,GGPS3,BVMF,BRL
WS:BVMF:GMAT3,GMAT3.SA,EXPLICIT,GMAT3,BVMF,BRL
WS:BVMF:GOAU4,GOAU4.SA,EXPLICIT,GOAU4,BVMF,BRL
WS:BVMF:HAPV3,HAPV3.SA,EXPLICIT,HAPV3,BVMF,BRL
WS:BVMF:HYPE3,HYPE3.SA,EXPLICIT,HYPE3,BVMF,BRL
WS:BVMF:IGTI11,IGTI11.SA,EXPLICIT,IGTI11,BVMF,BRL
WS:BVMF:INTB3,INTB3.SA,EXPLICIT,INTB3,BVMF,BRL
WS:BVMF:IRBR3,IRBR3.SA,EXPLICIT,IRBR3,BVMF,BRL
WS:BVMF:ISAE4,ISAE4.SA,EXPLICIT,ISAE4,BVMF,BRL
WS:BVMF:ITSA4,ITSA4.SA,EXPLICIT,ITSA4,BVMF,BRL
WS:BVMF:ITUB3,ITUB3.SA,EXPLICIT,ITUB3,BVMF,BRL
WS:BVMF:ITUB4,ITUB4.SA,EXPLICIT,ITUB4,BVMF,BRL
WS:BVMF:JHSF3,JHSF3.SA,EXPLICIT,JHSF3,BVMF,BRL
WS:BVMF:KLBN11,KLBN11.SA,EXPLICIT,KLBN11,BVMF,BRL
WS:BVMF:LREN3,LREN3.SA,EXPLICIT,LREN3,BVMF,BRL
WS:BVMF:MBRF3,MBRF3.SA,EXPLICIT,MBRF3,BVMF,BRL
WS:BVMF:MDNE3,MDNE3.SA,EXPLICIT,MDNE3,BVMF,BRL
WS:BVMF:MGLU3,MGLU3.SA,EXPLICIT,MGLU3,BVMF,BRL
WS:BVMF:MOTV3,MOTV3.SA,EXPLICIT,MOTV3,BVMF,BRL
WS:BVMF:MOVI3,MOVI3.SA,EXPLICIT,MOVI3,BVMF,BRL
WS:BVMF:MRVE3,MRVE3.SA,EXPLICIT,MRVE3,BVMF,BRL
WS:BVMF:MULT3,MULT3.SA,EXPLICIT,MULT3,BVMF,BRL
WS:BVMF:NATU3,NATU3.SA,EXPLICIT,NATU3,BVMF,BRL
WS:BVMF:ORVR3,ORVR3.SA,EXPLICIT,ORVR3,BVMF,BRL
WS:BVMF:PETR3,PETR3.SA,EXPLICIT,PETR3,BVMF,BRL
WS:BVMF:PETR4,PETR4.SA,EXPLICIT,PETR4,BVMF,BRL
WS:BVMF:POMO4,POMO4.SA,EXPLICIT,POMO4,BVMF,BRL
WS:BVMF:PRIO3,PRIO3.SA,EXPLICIT,PRIO3,BVMF,BRL
WS:BVMF:PSSA3,PSSA3.SA,EXPLICIT,PSSA3,BVMF,BRL
WS:BVMF:RADL3,RADL3.SA,EXPLICIT,RADL3,BVMF,BRL
WS:BVMF:RAIL3,RAIL3.SA,EXPLICIT,RAIL3,BVMF,BRL
WS:BVMF:RAPT4,RAPT4.SA,EXPLICIT,RAPT4,BVMF,BRL
WS:BVMF:RDOR3,RDOR3.SA,EXPLICIT,RDOR3,BVMF,BRL
WS:BVMF:RECV3,RECV3.SA,EXPLICIT,RECV3,BVMF,BRL
WS:BVMF:RENT3,RENT3.SA,EXPLICIT,RENT3,BVMF,BRL
WS:BVMF:SANB11,SANB11.SA,EXPLICIT,SANB11,BVMF,BRL
WS:BVMF:SAPR11,SAPR11.SA,EXPLICIT,SAPR11,BVMF,BRL
