Research_Partial_Rank_v0_16,WS_ID,Name,Country,Primary_Ticker,Primary_MIC,Primary_Currency,Primary_Universe_Index,AsOfRaw_v0_18,AsOfParsedUTC_v0_18,FeatureRowMatched_v0_18,AsOfValid_v0_18,CoreFeatureComplete_v0_18,PersistentFeatureUsable_v0_18,PriorV017DataError_v0_18,IntegrityStatus_v0_18,QuarantineReason_v0_18,P0QualificationAllowed_v0_18,P0Survivor_v0_18,TradingDecisionAllowed_v0_18,P0ObservationOnly_v0_18
333,WS:US:AMT,American Tower,,AMT,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
334,WS:XSHE:002938,"Avary Holding (Shenzhen) Co., Limited",China,002938,XSHE,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
335,WS:US:MTSI,MACOM Technology Solutions,,MTSI,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
336,WS:US:MSCI,MSCI,,MSCI,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
337,WS:US:WBS,Webster Bank,,WBS,,USD,US_SP1500,2026-08-20,2026-08-20T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
338,WS:US:ILMN,"Illumina, Inc.",,ILMN,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
339,WS:ISIN:TW0002317005,HON HAI PRECISION IND. CO. LTD.,Taiwan,2317,XTAI,TWD,TW_TW50,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
340,WS:US:VEEV,Veeva Systems,,VEEV,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
341,WS:US:NOC,Northrop Grumman,,NOC,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
342,WS:US:MRSH,Marsh McLennan,,MRSH,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
343,WS:XSHG:603799,"ZHEJIANG HUAYOU COBALT CO., LTD.",China,603799,XSHG,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
344,WS:XSHG:600309,"Wanhua Chemical Group Co., Ltd.",China,600309,XSHG,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
345,WS:ISIN:TW0008046004,NAN YA PRINTED CIRCUIT BOARD CORPORATION,Taiwan,8046,XTAI,TWD,TW_TW50,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
346,WS:XTKS:6861,KEYENCE CORP.,Japan,6861,XTKS,JPY,JP_N225,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
347,WS:US:MCO,Moody's Corporation,,MCO,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
348,WS:US:OKTA,"Okta, Inc.",,OKTA,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
349,WS:US:IR,Ingersoll Rand,,IR,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
350,WS:US:FAST,Fastenal,,FAST,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
351,WS:US:CTVA,Corteva,,CTVA,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
352,WS:XSHE:000858,Wuliangye Yibin Co Ltd,China,000858,XSHE,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
353,WS:US:NUE,Nucor,,NUE,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
354,WS:XSHG:600150,China CSSC Holdings Limited,China,600150,XSHG,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
355,WS:XTKS:5802,"SUMITOMO ELECTRIC IND., LTD.",Japan,5802,XTKS,JPY,JP_N225,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
356,WS:US:UAL,United Airlines Holdings,,UAL,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
357,WS:US:AKAM,Akamai Technologies,,AKAM,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
358,WS:US:ELV,Elevance Health,,ELV,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
359,WS:US:KEYS,Keysight Technologies,,KEYS,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
360,WS:US:KHC,Kraft Heinz,,KHC,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
361,WS:XSHG:688126,"National Silicon Industry Group Co.,Ltd.",China,688126,XSHG,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
362,WS:XTAI:3711,"ASE TECHNOLOGY HOLDING CO., LTD.",Taiwan,3711,XTAI,TWD,TW_TW50,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
363,WS:ISIN:TW0002383007,"ELITE MATERIAL CO., LTD.",Taiwan,2383,XTAI,TWD,TW_TW50,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
364,WS:XSHE:002709,"Guangzhou Tinci Materials Technology Co., Ltd",China,002709,XSHE,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
365,WS:US:XYZ,"Block, Inc.",,XYZ,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
366,WS:US:JBL,Jabil,,JBL,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
367,WS:US:FICO,Fair Isaac,,FICO,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
368,WS:US:ONTO,Onto Innovation,,ONTO,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
369,WS:XSHG:600362,Jiangxi Copper Co Ltd,China,600362,XSHG,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
370,WS:US:ODFL,Old Dominion,,ODFL,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
371,WS:US:PNC,PNC Financial Services,,PNC,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
372,WS:XSHE:000333,"Midea Group CO., LTD",China,000333,XSHE,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
373,WS:XSHG:600118,China Spacesat Co Ltd,China,600118,XSHG,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
374,WS:US:SWKS,Skyworks Solutions,,SWKS,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
375,WS:XSHE:002558,"Giant Network Group Co., Ltd.",China,002558,XSHE,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
376,WS:US:GWW,W. W. Grainger,,GWW,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
377,WS:US:ROK,Rockwell Automation,,ROK,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
378,WS:XSHE:300014,Eve Energy Co Ltd,China,300014,XSHE,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
379,WS:US:KR,Kroger,,KR,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
380,WS:XSHG:600547,Shandong Gold-Mining Co Ltd,China,600547,XSHG,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
381,WS:XTKS:3436,SUMCO CORP.,Japan,3436,XTKS,JPY,JP_N225,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
382,WS:US:TSCO,Tractor Supply,,TSCO,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
383,WS:US:FANG,Diamondback Energy,,FANG,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
384,WS:XSHG:603296,"Huaqin Technology Co., Ltd.",China,603296,XSHG,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
385,WS:XSHE:000807,Yunnan Aluminium Co Ltd,China,000807,XSHE,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
386,WS:US:CHTR,Charter Communications,,CHTR,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
387,WS:US:BDX,Becton Dickinson,,BDX,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
388,WS:XSHG:688082,"ACM Research (Shanghai) ,Inc.",China,688082,XSHG,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
389,WS:ISIN:TW0003443008,GLOBAL UNICHIP CORP.,Taiwan,3443,XTAI,TWD,TW_TW50,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
390,WS:XSHG:600489,Zhongjin Gold Co Ltd,China,600489,XSHG,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
391,WS:US:ARES,Ares Management,,ARES,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
392,WS:US:AJG,Arthur J. Gallagher & Co.,,AJG,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
393,WS:US:AWK,American Water Works,,AWK,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
394,WS:US:CARR,Carrier Global,,CARR,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
395,WS:XTKS:6098,"RECRUIT HOLDINGS CO., LTD.",Japan,6098,XTKS,JPY,JP_N225,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
396,WS:US:O,Realty Income,,O,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
397,WS:US:GD,General Dynamics,,GD,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
398,WS:US:AME,Ametek,,AME,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
399,WS:XTKS:5706,"MITSUI KINZOKU CO., LTD.",Japan,5706,XTKS,JPY,JP_N225,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
400,WS:US:KMI,Kinder Morgan,,KMI,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
401,WS:XSHG:601600,Aluminum Corporation of China Limited,China,601600,XSHG,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
402,WS:US:CRS,Carpenter Technology,,CRS,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
403,WS:US:HAL,Halliburton,,HAL,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
404,WS:XSHG:600111,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",China,600111,XSHG,CNY,CN_CSI300,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
405,WS:US:FOXA,Fox Corporation (Class A),,FOXA,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
406,WS:US:IQV,IQVIA,,IQV,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
407,WS:US:NVT,nVent Electric plc,,NVT,,USD,US_SP1500,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
408,WS:ISIN:TW0003017000,"ASIA VITAL COMPONENTS CO., LTD.",Taiwan,3017,XTAI,TWD,TW_TW50,2026-08-21,2026-08-21T00:00:00Z,True,True,True,True,False,USABLE,,False,False,False,True
